dataset,auc_margin,acc_margin,loss_margin,min_margin,dominant_metrics,strictly_dominates_all_baselines
Rock,0.313585,0.500000,0.378353,0.313585,3,True
CinCECGTorso,0.223220,0.488406,0.416091,0.223220,3,True
Mallat,0.211527,0.672068,0.270248,0.211527,3,True
GesturePebbleZ2,0.154056,0.322785,0.165081,0.154056,3,True
GesturePebbleZ1,0.144383,0.372093,0.195593,0.144383,3,True
FacesUCR,0.207894,0.429268,0.113302,0.113302,3,True
ACSF1,0.197333,0.320000,0.110687,0.110687,3,True
ShakeGestureWiimoteZ,0.187556,0.320000,0.105831,0.105831,3,True
Lightning7,0.102973,0.260274,0.156902,0.102973,3,True
SemgHandSubjectCh2,0.108160,0.191111,0.101901,0.101901,3,True
PickupGestureWiimoteZ,0.099556,0.440000,0.106513,0.099556,3,True
Beef,0.154167,0.166667,0.095141,0.095141,3,True
DodgerLoopGame,0.152357,0.239130,0.093129,0.093129,3,True
FaceFour,0.093110,0.259259,0.226592,0.093110,3,True
DodgerLoopDay,0.101502,0.112500,0.087732,0.087732,3,True
Car,0.082267,0.350000,0.123387,0.082267,3,True
InsectWingbeatSound,0.080446,0.153535,0.091651,0.080446,3,True
GestureMidAirD1,0.241538,0.407692,0.077201,0.077201,3,True
CricketY,0.155191,0.258974,0.077038,0.077038,3,True
NonInvasiveFetalECGThorax1,0.079240,0.661069,0.075972,0.075972,3,True
ProximalPhalanxTW,0.075780,0.211382,0.094963,0.075780,3,True
GestureMidAirD2,0.227631,0.384615,0.073530,0.073530,3,True
SemgHandGenderCh2,0.075543,0.073333,0.116301,0.073333,3,True
AllGestureWiimoteY,0.118249,0.165891,0.069570,0.069570,3,True
CricketZ,0.080286,0.207692,0.067305,0.067305,3,True
DiatomSizeReduction,0.180441,0.192810,0.066504,0.066504,3,True
CricketX,0.092819,0.238462,0.065910,0.065910,3,True
NonInvasiveFetalECGThorax2,0.064873,0.646819,0.075455,0.064873,3,True
Symbols,0.062010,0.428141,0.239005,0.062010,3,True
GestureMidAirD3,0.225723,0.353846,0.054373,0.054373,3,True
Fish,0.054020,0.205714,0.178326,0.054020,3,True
UWaveGestureLibraryAll,0.053902,0.235261,0.159564,0.053902,3,True
SwedishLeaf,0.050227,0.166400,0.074520,0.050227,3,True
UWaveGestureLibraryX,0.049504,0.088635,0.072401,0.049504,3,True
FaceAll,0.085488,0.082840,0.049432,0.049432,3,True
Meat,0.047917,0.316667,0.109639,0.047917,3,True
PLAID,0.070279,0.072626,0.047545,0.047545,3,True
DistalPhalanxTW,0.047108,0.148936,0.077454,0.047108,3,True
Yoga,0.068996,0.075667,0.046775,0.046775,3,True
MoteStrain,0.043974,0.052504,0.211669,0.043974,3,True
ArrowHead,0.043833,0.074286,0.048733,0.043833,3,True
UWaveGestureLibraryZ,0.040946,0.095342,0.050500,0.040946,3,True
ShapesAll,0.116777,0.563333,0.040735,0.040735,3,True
AllGestureWiimoteX,0.053964,0.101322,0.040245,0.040245,3,True
WordSynonyms,0.171697,0.302508,0.040053,0.040053,3,True
FiftyWords,0.158836,0.393407,0.037003,0.037003,3,True
UWaveGestureLibraryY,0.035745,0.085153,0.058818,0.035745,3,True
ItalyPowerDemand,0.035708,0.042802,0.163854,0.035708,3,True
MedicalImages,0.088650,0.059211,0.032426,0.032426,3,True
Plane,0.030695,0.228571,0.279927,0.030695,3,True
AllGestureWiimoteZ,0.079559,0.087591,0.030188,0.030188,3,True
Adiac,0.067303,0.173913,0.028891,0.028891,3,True
DodgerLoopWeekend,0.026688,0.050725,0.448372,0.026688,3,True
CBF,0.022718,0.324444,0.248458,0.022718,3,True
DistalPhalanxOutlineAgeGroup,0.027750,0.020202,0.064106,0.020202,3,True
Trace,0.022144,0.020000,0.212932,0.020000,3,True
Ham,0.030138,0.019048,0.124098,0.019048,3,True
GunPointOldVersusYoung,0.015960,0.034921,0.105881,0.015960,3,True
PhalangesOutlinesCorrect,0.013521,0.026846,0.031003,0.013521,3,True
ChlorineConcentration,0.093704,0.011979,0.027367,0.011979,3,True
EOGVerticalSignal,0.080135,0.129834,0.007917,0.007917,3,True
Lightning2,0.007576,0.098361,0.020376,0.007576,3,True
MiddlePhalanxTW,0.005416,0.027273,0.007965,0.005416,3,True
ECG5000,0.095084,0.004889,0.007218,0.004889,3,True
PowerCons,0.004074,0.050000,0.047675,0.004074,3,True
EOGHorizontalSignal,0.068016,0.124309,0.003768,0.003768,3,True
Crop,0.002387,0.061330,0.011572,0.002387,3,True
ProximalPhalanxOutlineCorrect,0.000629,0.016529,0.018208,0.000629,3,True
Herring,0.055668,0.000000,0.002853,0.000000,2,False
OliveOil,0.234564,0.000000,0.024937,0.000000,2,False
Haptics,0.053729,0.113636,-0.002469,-0.002469,2,False
MiddlePhalanxOutlineCorrect,-0.002526,0.010870,0.005342,-0.002526,2,False
MelbournePedestrian,-0.002541,0.002474,0.008905,-0.002541,2,False
GunPointMaleVersusFemale,0.001365,-0.003165,0.114454,-0.003165,2,False
BeetleFly,-0.010000,0.050000,0.194751,-0.010000,2,False
SonyAIBORobotSurface1,-0.012253,0.173623,0.088283,-0.012253,2,False
Chinatown,0.017773,-0.014577,0.143258,-0.014577,2,False
ProximalPhalanxOutlineAgeGroup,0.041945,-0.018868,0.061418,-0.018868,2,False
MixedShapesSmallTrain,0.038312,-0.019794,0.130182,-0.019794,2,False
MixedShapesRegularTrain,0.018496,-0.030103,0.062330,-0.030103,2,False
FreezerRegularTrain,-0.037889,0.004211,0.148501,-0.037889,2,False
