Dataset,Model,AUC,ACC,LOSS,n_samples
ACSF1,Correlation Two-Tower,0.926778,0.630000,0.185139,100
ACSF1,Transformer-only,0.925667,0.690000,0.183910,100
ACSF1,Two-Tower,0.927778,0.620000,0.183677,100
Adiac,Correlation Two-Tower,0.927079,0.393862,0.080756,391
Adiac,Transformer-only,0.906003,0.304348,0.089754,391
Adiac,Two-Tower,0.920727,0.375959,0.081418,391
AllGestureWiimoteX,Correlation Two-Tower,0.759079,0.368576,0.277918,681
AllGestureWiimoteX,Transformer-only,0.704999,0.286344,0.295211,681
AllGestureWiimoteX,Two-Tower,0.761985,0.337739,0.276840,681
AllGestureWiimoteY,Correlation Two-Tower,0.845736,0.452713,0.238305,645
AllGestureWiimoteY,Transformer-only,0.827980,0.424806,0.249787,645
AllGestureWiimoteY,Two-Tower,0.846381,0.468217,0.237549,645
AllGestureWiimoteZ,Correlation Two-Tower,0.778353,0.312409,0.280057,685
AllGestureWiimoteZ,Transformer-only,0.743777,0.280292,0.291020,685
AllGestureWiimoteZ,Two-Tower,0.782985,0.316788,0.278300,685
ArrowHead,Correlation Two-Tower,0.839742,0.588571,0.498989,175
ArrowHead,Transformer-only,0.835238,0.605714,0.475914,175
ArrowHead,Two-Tower,0.865077,0.720000,0.483826,175
BME,Correlation Two-Tower,0.870200,0.626667,0.464990,150
BME,Transformer-only,0.894467,0.646667,0.463985,150
BME,Two-Tower,0.871000,0.613333,0.473450,150
Beef,Correlation Two-Tower,0.797222,0.400000,0.407084,30
Beef,Transformer-only,0.802778,0.400000,0.398993,30
Beef,Two-Tower,0.813889,0.400000,0.402104,30
BeetleFly,Correlation Two-Tower,0.940000,0.900000,0.405933,20
BeetleFly,Transformer-only,0.840000,0.750000,0.505442,20
BeetleFly,Two-Tower,0.940000,0.900000,0.405587,20
BirdChicken,Correlation Two-Tower,0.670000,0.550000,0.670309,20
BirdChicken,Transformer-only,0.470000,0.450000,0.724229,20
BirdChicken,Two-Tower,0.670000,0.600000,0.669670,20
CBF,Correlation Two-Tower,0.967264,0.907778,0.296743,900
CBF,Transformer-only,0.933488,0.768889,0.362364,900
CBF,Two-Tower,0.969443,0.916667,0.291602,900
Car,Correlation Two-Tower,0.842680,0.666667,0.438817,60
Car,Transformer-only,0.858084,0.633333,0.433758,60
Car,Two-Tower,0.845916,0.633333,0.439288,60
Chinatown,Correlation Two-Tower,0.961719,0.842566,0.393910,343
Chinatown,Transformer-only,0.987824,0.889213,0.552616,343
Chinatown,Two-Tower,0.972998,0.848397,0.330689,343
ChlorineConcentration,Correlation Two-Tower,0.634583,0.569010,0.561168,3840
ChlorineConcentration,Transformer-only,0.649080,0.572135,0.557850,3840
ChlorineConcentration,Two-Tower,0.649184,0.570052,0.555016,3840
CinCECGTorso,Correlation Two-Tower,0.995166,0.949275,0.099338,1380
CinCECGTorso,Transformer-only,0.992446,0.898551,0.131151,1380
CinCECGTorso,Two-Tower,0.995196,0.948551,0.099205,1380
Coffee,Correlation Two-Tower,0.748718,0.678571,0.677965,28
Coffee,Transformer-only,0.979487,0.892857,0.637230,28
Coffee,Two-Tower,0.923077,0.821429,0.633252,28
