Dataset,Correlation Two-Tower AUC,Correlation Two-Tower ACC,Correlation Two-Tower LOSS,Correlation Two-Tower N,Transformer-only AUC,Transformer-only ACC,Transformer-only LOSS,Transformer-only N,Two-Tower AUC,Two-Tower ACC,Two-Tower LOSS,Two-Tower N
ACSF1,0.926778,0.630000,0.185139,100,0.925667,0.690000,0.183910,100,0.927778,0.620000,0.183677,100
Adiac,0.927079,0.393862,0.080756,391,0.906003,0.304348,0.089754,391,0.920727,0.375959,0.081418,391
AllGestureWiimoteX,0.759079,0.368576,0.277918,681,0.704999,0.286344,0.295211,681,0.761985,0.337739,0.276840,681
AllGestureWiimoteY,0.845736,0.452713,0.238305,645,0.827980,0.424806,0.249787,645,0.846381,0.468217,0.237549,645
AllGestureWiimoteZ,0.778353,0.312409,0.280057,685,0.743777,0.280292,0.291020,685,0.782985,0.316788,0.278300,685
ArrowHead,0.839742,0.588571,0.498989,175,0.835238,0.605714,0.475914,175,0.865077,0.720000,0.483826,175
BME,0.870200,0.626667,0.464990,150,0.894467,0.646667,0.463985,150,0.871000,0.613333,0.473450,150
Beef,0.797222,0.400000,0.407084,30,0.802778,0.400000,0.398993,30,0.813889,0.400000,0.402104,30
BeetleFly,0.940000,0.900000,0.405933,20,0.840000,0.750000,0.505442,20,0.940000,0.900000,0.405587,20
BirdChicken,0.670000,0.550000,0.670309,20,0.470000,0.450000,0.724229,20,0.670000,0.600000,0.669670,20
CBF,0.967264,0.907778,0.296743,900,0.933488,0.768889,0.362364,900,0.969443,0.916667,0.291602,900
Car,0.842680,0.666667,0.438817,60,0.858084,0.633333,0.433758,60,0.845916,0.633333,0.439288,60
Chinatown,0.961719,0.842566,0.393910,343,0.987824,0.889213,0.552616,343,0.972998,0.848397,0.330689,343
ChlorineConcentration,0.634583,0.569010,0.561168,3840,0.649080,0.572135,0.557850,3840,0.649184,0.570052,0.555016,3840
CinCECGTorso,0.995166,0.949275,0.099338,1380,0.992446,0.898551,0.131151,1380,0.995196,0.948551,0.099205,1380
Coffee,0.748718,0.678571,0.677965,28,0.979487,0.892857,0.637230,28,0.923077,0.821429,0.633252,28
CricketX,0.874881,0.528205,0.195306,390,0.858058,0.487179,0.204879,390,0.876549,0.538462,0.194652,390
CricketY,0.888922,0.507692,0.192195,390,0.885698,0.523077,0.191245,390,0.891519,0.525641,0.191079,390
CricketZ,0.862408,0.553846,0.193153,390,0.852826,0.507692,0.202047,390,0.863436,0.558974,0.192180,390
Crop,0.958742,0.684229,0.067264,16778,0.958527,0.682799,0.067767,16778,0.958635,0.685719,0.067332,16778
DiatomSizeReduction,0.984782,0.470588,0.468465,306,0.976560,0.418301,0.474574,306,0.984388,0.500000,0.465192,306
DistalPhalanxOutlineAgeGroup,0.752318,0.656566,0.458067,99,0.773921,0.676768,0.448717,99,0.771343,0.666667,0.444356,99
DistalPhalanxOutlineCorrect,0.815215,0.773869,0.504787,199,0.803454,0.743719,0.520247,199,0.800487,0.753769,0.523416,199
DistalPhalanxTW,0.791187,0.553191,0.367837,94,0.796860,0.542553,0.370397,94,0.798530,0.563830,0.362054,94
DodgerLoopDay,0.794228,0.475000,0.302035,80,0.814444,0.512500,0.305001,80,0.777050,0.412500,0.316566,80
DodgerLoopGame,0.781776,0.746377,0.600279,138,0.853325,0.768116,0.526572,138,0.777567,0.731884,0.598922,138
DodgerLoopWeekend,0.983388,0.978261,0.169375,138,0.979031,0.971014,0.173326,138,0.982026,0.978261,0.162874,138
ECG200,0.813368,0.700000,0.580462,100,0.886285,0.720000,0.518291,100,0.850260,0.670000,0.572238,100
ECG5000,0.920443,0.937556,0.079314,4500,0.914161,0.932889,0.083292,4500,0.918075,0.935778,0.078855,4500
ECGFiveDays,0.865241,0.663182,0.587953,861,0.869121,0.516841,0.655888,861,0.925250,0.716609,0.528747,861
EOGHorizontalSignal,0.855049,0.464088,0.249660,362,0.857402,0.466851,0.244996,362,0.855209,0.464088,0.249147,362
EOGVerticalSignal,0.850459,0.439227,0.257986,362,0.851484,0.425414,0.257046,362,0.850673,0.441989,0.257260,362
Earthquakes,0.576099,0.733813,0.585078,139,0.612088,0.748201,0.560739,139,0.578022,0.733813,0.583525,139
EthanolLevel,0.562731,0.290000,0.564172,500,0.663729,0.370000,0.542278,500,0.562463,0.298000,0.567459,500
FaceAll,0.947079,0.716568,0.152448,1690,0.939713,0.717160,0.161993,1690,0.948036,0.718343,0.151754,1690
FaceFour,0.905358,0.740741,0.355924,81,0.922407,0.716049,0.337025,81,0.906479,0.716049,0.358023,81
FacesUCR,0.942440,0.756098,0.117847,2050,0.929466,0.739024,0.123175,2050,0.941025,0.745366,0.119065,2050
FiftyWords,0.895009,0.659341,0.044666,455,0.896745,0.663736,0.045655,455,0.896044,0.657143,0.044706,455
Fish,0.927472,0.765714,0.184820,175,0.921288,0.737143,0.197540,175,0.928492,0.760000,0.184456,175
FordA,0.576481,0.584848,0.685920,1320,0.491308,0.515909,0.701881,1320,0.582592,0.568939,0.694685,1320
FordB,0.515021,0.512346,0.693032,810,0.504625,0.502469,0.701599,810,0.492455,0.502469,0.693945,810
FreezerRegularTrain,0.942813,0.931228,0.258409,2850,0.947290,0.917895,0.266628,2850,0.943235,0.931930,0.256584,2850
FreezerSmallTrain,0.829047,0.751930,0.528033,2850,0.822091,0.742807,0.546092,2850,0.834136,0.755789,0.523981,2850
GestureMidAirD1,0.950954,0.584615,0.077886,130,0.953846,0.569231,0.078051,130,0.950523,0.561538,0.078192,130
GestureMidAirD2,0.959385,0.530769,0.082040,130,0.954954,0.561538,0.081724,130,0.958462,0.523077,0.082428,130
GestureMidAirD3,0.913354,0.453846,0.103975,130,0.907262,0.469231,0.106858,130,0.912123,0.469231,0.103979,130
GesturePebbleZ1,0.967606,0.837209,0.172673,172,0.952353,0.796512,0.207217,172,0.962838,0.825581,0.181829,172
GesturePebbleZ2,0.965791,0.803797,0.198944,158,0.961411,0.784810,0.204846,158,0.957379,0.791139,0.212573,158
GunPoint,0.977063,0.900000,0.322296,150,0.955192,0.846667,0.458300,150,0.977418,0.913333,0.309819,150
GunPointAgeSpan,0.979247,0.917722,0.203065,316,0.981010,0.898734,0.208752,316,0.984696,0.927215,0.179953,316
GunPointMaleVersusFemale,0.998835,0.981013,0.044345,316,0.996867,0.971519,0.070186,316,0.998956,0.984177,0.041057,316
GunPointOldVersusYoung,0.982384,0.952381,0.191912,315,0.969091,0.917460,0.240140,315,0.987313,0.961905,0.175401,315
Ham,0.839143,0.742857,0.498527,105,0.855483,0.761905,0.470234,105,0.833333,0.714286,0.516650,105
HandOutlines,0.928714,0.905405,0.315693,370,0.943149,0.897297,0.299740,370,0.928682,0.905405,0.312376,370
Haptics,0.730762,0.422078,0.496344,308,0.736863,0.422078,0.489022,308,0.730703,0.431818,0.496161,308
Herring,0.624494,0.593750,0.670309,64,0.519231,0.593750,0.675958,64,0.574899,0.593750,0.673436,64
HouseTwenty,0.870145,0.840336,0.456115,119,0.797971,0.537815,0.663523,119,0.871304,0.840336,0.454864,119
InlineSkate,0.555104,0.161818,0.445500,550,0.551673,0.152727,0.451289,550,0.556289,0.160000,0.445015,550
InsectEPGRegularTrain,0.835965,0.686747,0.421585,249,0.811624,0.686747,0.434593,249,0.838442,0.690763,0.415487,249
InsectEPGSmallTrain,0.800545,0.654618,0.476254,249,0.777285,0.650602,0.506007,249,0.802432,0.650602,0.475339,249
InsectWingbeatSound,0.939594,0.625758,0.158458,1980,0.938951,0.633838,0.156202,1980,0.939300,0.626263,0.159005,1980
ItalyPowerDemand,0.975798,0.927043,0.292319,1028,0.987581,0.940661,0.293881,1028,0.989754,0.950389,0.222850,1028
LargeKitchenAppliances,0.449206,0.176471,0.681810,17,0.436508,0.235294,0.672379,17,0.461905,0.176471,0.676849,17
Lightning2,0.751082,0.704918,0.617623,61,0.770563,0.737705,0.618196,61,0.751082,0.704918,0.619484,61
Lightning7,0.944529,0.684932,0.216834,73,0.931496,0.671233,0.222534,73,0.945413,0.684932,0.216022,73
Mallat,0.991339,0.798294,0.115859,2345,0.991422,0.806823,0.119706,2345,0.991514,0.795309,0.115975,2345
Meat,0.846667,0.583333,0.561399,60,0.887083,0.866667,0.619437,60,0.970833,0.866667,0.520253,60
MedicalImages,0.909391,0.617105,0.170521,760,0.903665,0.600000,0.174227,760,0.909575,0.614474,0.169945,760
MelbournePedestrian,0.948639,0.779794,0.120832,2425,0.946984,0.783505,0.126103,2425,0.952644,0.789278,0.116650,2425
MiddlePhalanxOutlineAgeGroup,0.606862,0.605442,0.542638,147,0.590605,0.605442,0.561271,147,0.573144,0.625850,0.551797,147
MiddlePhalanxOutlineCorrect,0.848197,0.760870,0.492895,276,0.861259,0.768116,0.484670,276,0.867494,0.786232,0.468025,276
MiddlePhalanxTW,0.638951,0.409091,0.443877,110,0.668737,0.445455,0.437108,110,0.653806,0.427273,0.441644,110
MixedShapesRegularTrain,0.958182,0.840412,0.173065,2425,0.956696,0.847010,0.175140,2425,0.958653,0.841237,0.172385,2425
MixedShapesSmallTrain,0.920021,0.743505,0.253733,2425,0.900615,0.670928,0.285215,2425,0.919892,0.743093,0.254110,2425
MoteStrain,0.954151,0.878029,0.365215,1238,0.941171,0.869952,0.417323,1238,0.961265,0.890953,0.348998,1238
NonInvasiveFetalECGThorax1,0.993932,0.869211,0.021050,1965,0.995227,0.836132,0.022228,1965,0.993971,0.870738,0.020920,1965
NonInvasiveFetalECGThorax2,0.995167,0.899746,0.016303,1965,0.996887,0.924173,0.012829,1965,0.995242,0.899237,0.016118,1965
OSULeaf,0.734506,0.458678,0.416987,242,0.719137,0.421488,0.421822,242,0.723120,0.458678,0.423009,242
OliveOil,0.799801,0.400000,0.508988,30,0.553712,0.400000,0.535570,30,0.956594,0.400000,0.507742,30
PLAID,0.897587,0.675978,0.169414,537,0.885718,0.651769,0.174250,537,0.887662,0.662942,0.172782,537
PhalangesOutlinesCorrect,0.836751,0.785235,0.464682,596,0.829188,0.773490,0.476032,596,0.851369,0.805369,0.442758,596
Phoneme,0.533563,0.109293,0.115446,1894,0.487873,0.090813,0.113052,1894,0.535178,0.109293,0.115262,1894
PickupGestureWiimoteZ,0.897333,0.640000,0.201743,50,0.892000,0.620000,0.203207,50,0.897333,0.640000,0.202042,50
PigAirwayPressure,0.470541,0.019231,0.099980,208,0.435850,0.014423,0.109822,208,0.467642,0.019231,0.099967,208
PigArtPressure,0.477965,0.033654,0.098173,208,0.474571,0.096154,0.103704,208,0.478790,0.028846,0.098169,208
PigCVP,0.488523,0.014423,0.098102,208,0.430666,0.024038,0.105407,208,0.487368,0.014423,0.098138,208
Plane,0.997682,0.971429,0.054460,105,0.994878,0.961905,0.063985,105,0.997893,0.961905,0.055607,105
PowerCons,0.989136,0.972222,0.138104,180,0.983333,0.961111,0.162620,180,0.988148,0.972222,0.142302,180
ProximalPhalanxOutlineAgeGroup,0.808583,0.764151,0.354028,106,0.818576,0.773585,0.348258,106,0.814645,0.754717,0.362090,106
ProximalPhalanxOutlineCorrect,0.964151,0.909091,0.187540,121,0.965409,0.942149,0.170947,121,0.968553,0.942149,0.172647,121
ProximalPhalanxTW,0.892316,0.723577,0.274328,123,0.905414,0.707317,0.264355,123,0.909372,0.756098,0.269882,123
RefrigerationDevices,0.647381,0.467033,0.747033,364,0.619125,0.398352,0.772463,364,0.645533,0.467033,0.751124,364
Rock,0.953232,0.880000,0.178722,50,0.957037,0.920000,0.176804,50,0.953146,0.880000,0.179190,50
ScreenType,0.631606,0.466667,0.636566,60,0.620178,0.516667,0.599691,60,0.630590,0.433333,0.635541,60
SemgHandGenderCh2,0.888987,0.796667,0.436155,600,0.870085,0.775000,0.471895,600,0.895470,0.805000,0.426804,600
