Dataset,Model,AUC,ACC,LOSS,n_samples
ACSF1,FEDformer,0.709333,0.190000,0.294364,100
ACSF1,Informer,0.730444,0.300000,0.295328,100
ACSF1,TS2Vec,0.620444,0.180000,0.442712,100
ACSF1,Two-Tower,0.927778,0.620000,0.183677,100
Adiac,FEDformer,0.853424,0.202046,0.110309,391
Adiac,Informer,0.611339,0.015345,0.125706,391
Adiac,TS2Vec,0.550129,0.020460,0.126271,391
Adiac,Two-Tower,0.920727,0.375959,0.081418,391
AllGestureWiimoteX,FEDformer,0.654338,0.165932,0.317085,681
AllGestureWiimoteX,Informer,0.708022,0.236417,0.317532,681
AllGestureWiimoteX,TS2Vec,0.549247,0.232012,0.330218,681
AllGestureWiimoteX,Two-Tower,0.761985,0.337739,0.276840,681
AllGestureWiimoteY,FEDformer,0.686114,0.179845,0.307119,645
AllGestureWiimoteY,Informer,0.728132,0.207752,0.317076,645
AllGestureWiimoteY,TS2Vec,0.559279,0.302326,0.328638,645
AllGestureWiimoteY,Two-Tower,0.846381,0.468217,0.237549,645
AllGestureWiimoteZ,FEDformer,0.686849,0.210219,0.308488,685
AllGestureWiimoteZ,Informer,0.703426,0.229197,0.316101,685
AllGestureWiimoteZ,TS2Vec,0.545711,0.201460,0.331598,685
AllGestureWiimoteZ,Two-Tower,0.782985,0.316788,0.278300,685
ArrowHead,FEDformer,0.821244,0.645714,0.532559,175
ArrowHead,Informer,0.760785,0.525714,0.619364,175
ArrowHead,TS2Vec,0.506696,0.308571,0.650006,175
ArrowHead,Two-Tower,0.865077,0.720000,0.483826,175
BME,FEDformer,0.943467,0.933333,0.526496,150
BME,Informer,0.794067,0.493333,0.578399,150
BME,TS2Vec,0.673733,0.333333,0.651173,150
BME,Two-Tower,0.871000,0.613333,0.473450,150
Beef,FEDformer,0.659722,0.200000,0.497244,30
Beef,Informer,0.655556,0.200000,0.525322,30
Beef,TS2Vec,0.558333,0.233333,0.579615,30
Beef,Two-Tower,0.813889,0.400000,0.402104,30
BeetleFly,FEDformer,0.950000,0.850000,0.600337,20
BeetleFly,Informer,0.490000,0.450000,0.695482,20
BeetleFly,TS2Vec,0.130000,0.500000,0.702047,20
BeetleFly,Two-Tower,0.940000,0.900000,0.405587,20
BirdChicken,FEDformer,1.000000,0.900000,0.498309,20
BirdChicken,Informer,1.000000,0.900000,0.652749,20
BirdChicken,TS2Vec,0.880000,0.750000,0.681495,20
BirdChicken,Two-Tower,0.670000,0.600000,0.669670,20
CBF,FEDformer,0.526550,0.312222,0.651508,900
CBF,Informer,0.946725,0.592222,0.540060,900
CBF,TS2Vec,0.858215,0.475556,0.642187,900
CBF,Two-Tower,0.969443,0.916667,0.291602,900
Car,FEDformer,0.754036,0.283333,0.562675,60
Car,Informer,0.763649,0.216667,0.583483,60
Car,TS2Vec,0.587276,0.216667,0.576876,60
Car,Two-Tower,0.845916,0.633333,0.439288,60
Chinatown,FEDformer,0.952234,0.845481,0.473947,343
Chinatown,Informer,0.955225,0.862974,0.647841,343
Chinatown,TS2Vec,0.747629,0.492711,0.693289,343
Chinatown,Two-Tower,0.972998,0.848397,0.330689,343
ChlorineConcentration,FEDformer,0.555480,0.556250,0.582383,3840
ChlorineConcentration,Informer,0.541571,0.558073,0.586561,3840
ChlorineConcentration,TS2Vec,0.503148,0.532552,0.599096,3840
ChlorineConcentration,Two-Tower,0.649184,0.570052,0.555016,3840
CinCECGTorso,FEDformer,0.771977,0.460145,0.515296,1380
CinCECGTorso,Informer,0.581975,0.318116,0.564634,1380
CinCECGTorso,TS2Vec,0.527780,0.289130,0.606625,1380
CinCECGTorso,Two-Tower,0.995196,0.948551,0.099205,1380
Coffee,FEDformer,1.000000,0.964286,0.659896,28
Coffee,Informer,0.897436,0.571429,0.689255,28
Coffee,TS2Vec,0.615385,0.571429,0.692967,28
Coffee,Two-Tower,0.923077,0.821429,0.633252,28
CricketX,FEDformer,0.703533,0.200000,0.275724,390
CricketX,Informer,0.783730,0.300000,0.260562,390
CricketX,TS2Vec,0.679577,0.220513,0.281661,390
CricketX,Two-Tower,0.876549,0.538462,0.194652,390
CricketY,FEDformer,0.718511,0.151282,0.270002,390
CricketY,Informer,0.736328,0.266667,0.268117,390
CricketY,TS2Vec,0.646163,0.189744,0.282490,390
CricketY,Two-Tower,0.891519,0.525641,0.191079,390
