Dataset,FEDformer AUC,FEDformer ACC,FEDformer LOSS,FEDformer N,Informer AUC,Informer ACC,Informer LOSS,Informer N,TS2Vec AUC,TS2Vec ACC,TS2Vec LOSS,TS2Vec N,Two-Tower AUC,Two-Tower ACC,Two-Tower LOSS,Two-Tower N
ACSF1,0.709333,0.190000,0.294364,100,0.730444,0.300000,0.295328,100,0.620444,0.180000,0.442712,100,0.927778,0.620000,0.183677,100
Adiac,0.853424,0.202046,0.110309,391,0.611339,0.015345,0.125706,391,0.550129,0.020460,0.126271,391,0.920727,0.375959,0.081418,391
AllGestureWiimoteX,0.654338,0.165932,0.317085,681,0.708022,0.236417,0.317532,681,0.549247,0.232012,0.330218,681,0.761985,0.337739,0.276840,681
AllGestureWiimoteY,0.686114,0.179845,0.307119,645,0.728132,0.207752,0.317076,645,0.559279,0.302326,0.328638,645,0.846381,0.468217,0.237549,645
AllGestureWiimoteZ,0.686849,0.210219,0.308488,685,0.703426,0.229197,0.316101,685,0.545711,0.201460,0.331598,685,0.782985,0.316788,0.278300,685
ArrowHead,0.821244,0.645714,0.532559,175,0.760785,0.525714,0.619364,175,0.506696,0.308571,0.650006,175,0.865077,0.720000,0.483826,175
BME,0.943467,0.933333,0.526496,150,0.794067,0.493333,0.578399,150,0.673733,0.333333,0.651173,150,0.871000,0.613333,0.473450,150
Beef,0.659722,0.200000,0.497244,30,0.655556,0.200000,0.525322,30,0.558333,0.233333,0.579615,30,0.813889,0.400000,0.402104,30
BeetleFly,0.950000,0.850000,0.600337,20,0.490000,0.450000,0.695482,20,0.130000,0.500000,0.702047,20,0.940000,0.900000,0.405587,20
BirdChicken,1.000000,0.900000,0.498309,20,1.000000,0.900000,0.652749,20,0.880000,0.750000,0.681495,20,0.670000,0.600000,0.669670,20
CBF,0.526550,0.312222,0.651508,900,0.946725,0.592222,0.540060,900,0.858215,0.475556,0.642187,900,0.969443,0.916667,0.291602,900
Car,0.754036,0.283333,0.562675,60,0.763649,0.216667,0.583483,60,0.587276,0.216667,0.576876,60,0.845916,0.633333,0.439288,60
Chinatown,0.952234,0.845481,0.473947,343,0.955225,0.862974,0.647841,343,0.747629,0.492711,0.693289,343,0.972998,0.848397,0.330689,343
ChlorineConcentration,0.555480,0.556250,0.582383,3840,0.541571,0.558073,0.586561,3840,0.503148,0.532552,0.599096,3840,0.649184,0.570052,0.555016,3840
CinCECGTorso,0.771977,0.460145,0.515296,1380,0.581975,0.318116,0.564634,1380,0.527780,0.289130,0.606625,1380,0.995196,0.948551,0.099205,1380
Coffee,1.000000,0.964286,0.659896,28,0.897436,0.571429,0.689255,28,0.615385,0.571429,0.692967,28,0.923077,0.821429,0.633252,28
CricketX,0.703533,0.200000,0.275724,390,0.783730,0.300000,0.260562,390,0.679577,0.220513,0.281661,390,0.876549,0.538462,0.194652,390
CricketY,0.718511,0.151282,0.270002,390,0.736328,0.266667,0.268117,390,0.646163,0.189744,0.282490,390,0.891519,0.525641,0.191079,390
CricketZ,0.694646,0.161538,0.274777,390,0.783150,0.351282,0.259485,390,0.683996,0.143590,0.281700,390,0.863436,0.558974,0.192180,390
Crop,0.951437,0.624389,0.081584,16778,0.956248,0.594469,0.078904,16778,0.884027,0.489391,0.119369,16778,0.958635,0.685719,0.067332,16778
DiatomSizeReduction,0.803947,0.300654,0.531696,306,0.521892,0.284314,0.593645,306,0.501753,0.307190,0.617844,306,0.984388,0.500000,0.465192,306
DistalPhalanxOutlineAgeGroup,0.736666,0.575758,0.524417,99,0.743593,0.646465,0.508463,99,0.676268,0.575758,0.563509,99,0.771343,0.666667,0.444356,99
DistalPhalanxOutlineCorrect,0.823374,0.753769,0.511460,199,0.815957,0.758794,0.522650,199,0.734160,0.608040,0.676884,199,0.800487,0.753769,0.523416,199
DistalPhalanxTW,0.751423,0.414894,0.439508,94,0.728474,0.414894,0.451760,94,0.534084,0.414894,0.463591,94,0.798530,0.563830,0.362054,94
DodgerLoopDay,0.487357,0.150000,0.410256,80,0.675548,0.300000,0.404298,80,0.516536,0.175000,0.454513,80,0.777050,0.412500,0.316566,80
DodgerLoopGame,0.565236,0.492754,0.694453,138,0.471170,0.434783,0.693163,138,0.625210,0.427536,0.692051,138,0.777567,0.731884,0.598922,138
DodgerLoopWeekend,0.541667,0.739130,0.677179,138,0.955338,0.927536,0.611246,138,0.223856,0.731884,0.679790,138,0.982026,0.978261,0.162874,138
